,Date,Eat_Ross,Eat_Chandler,Eat_BT1,Eat_BT2,Eat_BT3,Eat_BT4,Eat_BT5,Eat_GR1,Eat_GR2,Eat_GR3,Eat_GR4,Eat_GR5,Eat_Total,SharkCount,AvgPiecesPerShark,Drop_Ross,Drop_Chandler,Drop_BT1,Drop_BT2,Drop_BT3,Drop_BT4,Drop_BT5,Drop_GR1,Drop_GR2,Drop_GR3,Drop_GR4,Drop_GR5,Drop_Total,AvgDropsPerShark,Target_Ross,Target_Chandler,Target_BT1,Target_BT2,Target_BT3,Target_BT4,Target_BT5,Target_GR1,Target_GR2,Target_GR3,Target_GR4,Target_GR5,Target_Total,AvgTargetsPerShark,Temperature,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,BT/SB Location (1-6),GR Location (1-6),food_combo,GroupFeed
312,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,0.0
313,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,0.0
314,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,0.0
315,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,0.0
316,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,0.0
317,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,0.0
318,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,0.0
319,2019-06-09,4.0,0.0,4.0,0.0,1.0,7.0,2.0,,,,,,18,7.0,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,0.0
320,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,1.0
321,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,1.0
322,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,1.0
323,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,,,4,0.5714285714285714,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,1.0
324,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,1.0
325,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,3.0,16.0,16.0,22.0,10.0,8.0,,,,,,98,14.0,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,1.0
326,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,74.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mackerel,1.0
327,2019-06-09,8.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,37,12.0,3.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,11.0,5.0,10.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,57,4.75,75.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Saury,1.0
